privato,gruppo
TYN5AIRKP330J604,0
4577B6GZXM6058U8,0
18OND3J01R5U421B,1
I3Y14GN69R84QE8F,1
1B6Z8F5M44527365,2
3LJONP5026N2Y94F,2
45E6HKEX430UZ6XU,2
2R4SC19Q1718XVOK,3
20S14H59HU9909W8,3
1J9U0B3T4BTMVD37,3
R0194MO8IR4K5V89,3
S2G63290VI04CVE1,4
V74R643O5U4512J3,4
6AF0RV0OZ0VN4IQ7,5
E11OTUZ24FHLT4P4,5
5215M60L9X7TX9QL,6
55T1385V9356L439,6
ODQ341AKQ4V4MJKV,6
K32SY83I9VKRZ9FA,7
BZ7L4X36HJAQ8E45,7
1V935E28O3DQ131M,7
R1P34798MBRRU84Q,8
U25KPW2HCH96QJU0,8
UQ9A5PAUA1LX4708,9
465CA6J7ETZHJPB9,9
E5NOCWV4I060BUQN,9
0TM2LEM1L8DW335Q,9
Q0LJLFX5KL86LPL4,10
GH3Y99G6O4OP3PQ8,10
12397U394WLJ7975,10
H8VPM1QS5R6763LF,11
YCNR9T8QVST7WFJ2,11
4TA1L57GMDW3EP50,12
21R9114PUPN68207,12
EX7256V33Z9IZ7Z8,12
34PCH8TH45P5JYSA,13
58P2KSO0716U5A90,13
7RGZ23VB9189640C,14
C4Q696YS5V440SO3,14
1I9NAVR73A70DN51,15
J8I28G114023X94J,15
AG2CMY1JJ9GIM5GO,15
2XC1UN8SP50RUE90,16
S73O34JKSYLZZ3DB,16
T5E1N31F7H050U4K,17
1SZ129BG688XD918,17
8B74RHNB3C0UJVX7,17
80H3JYH3D2859B4Y,17
75F47K67Z6F81HZL,18
8A7W0E1KWEAR4BLR,18
5IAC3Q92U84411VB,18
6752MZ7K7T74A695,18
E7R836PFZ5XOZTCL,19
4H7V6AU214N2E76V,19
HXT438824TD1034L,20
34PHAWK74P25L4CA,20
BD3YI4133W6YG184,21
LY1152J708K85S26,21
988ILHS265R9SAAR,22
8T5PU7STD3921A71,22
TQ39H74QYGZQ0CU3,22
7D11SU7RNS81I07W,23
5VBH6ZGAP1C37945,23
46A907Y06EI14IPT,24
9117GMF5PR4HWCSQ,24
SEZZ25DBT7BMCVB4,24
AG6ZH922RXT578A6,24
85XNZ08249O6X77V,25
Y35954N6AB8H35VV,25
3D3GH3M2PNW5C381,25
02GSHPN2U3803P6X,25
RZ1RT9KU0C1JIE43,26
B4A8FY60F7HH83DJ,26
ZFC343I5T4W78G19,27
015JVP7ASB8VW85V,27
7926BT14733N6EC0,28
52I08409SMH79047,28
NJGPAC216625V68I,28
SV5WCTDJLDPI748W,29
N2T3OHQUV64D20T3,29
RNS0A68E40M89WH7,29
3J9HOEV86A6NL71R,30
817SZ99628O71BU9,30
PWMT35PQR875DT9B,31
25H3CXJ0IMX4X87Y,31
H2687TN7SS9XB6NC,31
8JB1CGA101D36I22,32
104HWS623BM3SN78,32
KTX850K3Y56121XX,33
6UDWOGNSP6IO46W8,33
G3N3VKHO545974JC,34
EA9Q589EV9127LYD,34
ZNGQFW7X5F963255,35
NGJY870TJJ513B1K,35
A7C8G4GYO84CIE23,36
U88QX19ZB5SG84L7,36
PQ3LV49388K51093,37
30HWDWW5TPIWC5XO,37
560L1FWZ25UJR6M8,38
OG8P6089747T0MN2,38
W7IB93K6027JME7S,38
X8RZ5846OV9775DI,39
52N9A49P4HV3O6FC,39
FE4UPK3K3R7295QF,40
P0G281BH4100R2M8,40
9G42SA8L65186WUF,41
BL7AMICY9BC8EQ7Y,41
2B81E5B0IQAC2KW7,42
4KK1Q5PXPDSG253A,42
9K46100NF7WQB17T,42
1452D8W215239UW5,42
147BURHXZ1J9G350,43
73ON06M3CT9812SD,43
