codice_fiscale,nome,cognome,telefono,indirizzo,data_nascita,proprietario
7X82AOVGU95MNAX5,Rupert,Kemish,355-230-9763,0970 Pearson Road,1922-12-11,0
LSA8I9SF7KM6P3P3,Wren,Josselson,538-446-9435,70 Tony Way,1992-11-30,1
8FCKP91Q0Z64ZGP3,Norry,Arendt,301-481-4677,61830 Kensington Drive,1935-12-31,3
T2QR04092Z1O557F,Elmo,Kenzie,721-904-4779,6695 Northview Road,1983-12-03,4
9GP4V9DFG9309AL6,Zechariah,Wearne,237-845-2881,8 Main Circle,1999-09-21,5
50A55R8TS02PT4Y4,Rudd,Foston,533-180-3484,2012 Heath Alley,1953-02-21,6
2AZYKT4EG0NLIKGT,Ashton,Collcott,864-728-7847,753 8th Pass,2001-08-16,7
W4CNQ368TDA3NJ99,Dinny,Baldree,205-255-2141,8486 Kropf Parkway,1933-11-19,8
066L9T287CY2N6T3,Abbi,Galiford,699-349-0272,099 Johnson Terrace,1909-02-21,9
ZLNS3Z5Z1229B0B4,Vachel,Bassett,337-498-1136,48 Butternut Circle,1934-10-31,10
U93215LO80LV97EB,Burl,Langer,144-968-3321,9407 Raven Parkway,1926-08-01,11
6OL9L22HHVZW71T2,Hyacinthia,Spinas,757-138-1678,108 Troy Parkway,1998-03-12,12
1263ZJNXHNXU3324,Benedicto,Dumingos,341-901-7809,8 Ridgeway Road,1981-02-27,13
38LI8UW86D8YN00R,Pegeen,Carpmile,217-531-6288,032 La Follette Lane,1918-04-28,14
8C56K3RD0068A57Q,Cristiano,Piatto,932-345-5939,7547 Nobel Junction,1928-09-09,15
2K87I3296U32667I,Berty,Puleque,525-774-1197,8838 Utah Lane,1928-11-04,16
2JXAZH1SVW38JEM8,Heall,Pucknell,538-946-0872,65 Arkansas Parkway,1929-10-31,17
SKEOW2MRV675Q966,Jacquelyn,Gally,874-966-9175,9 Walton Trail,1924-05-02,18
H75D7TSXN92Q21FO,Jerrie,Gawler,558-717-4219,8126 Red Cloud Lane,1989-01-07,19
24RCD1C6I9V241D6,Glenda,Hardwidge,165-288-5442,04632 Bay Drive,1946-03-22,20
KR8E8N9E7DUPU958,Queenie,Layman,400-195-5672,10558 Rowland Park,1961-01-21,21
1018GG546P3CC6A2,Elayne,Maryon,637-207-9282,17952 Pierstorff Alley,1943-10-06,22
00GR4IHQ1F758MT7,Biddy,Osbourne,213-231-6701,11348 Loftsgordon Center,1957-02-03,24
L2FM650O34EF108K,Justis,Petheridge,741-581-7141,85558 Elgar Avenue,1937-06-28,25
BX45C2JJ74EJFJ2E,Doy,Mitchenson,295-643-9243,7332 Reinke Park,1997-01-04,27
7C98ENKB18I5M70O,Winne,Shoebridge,354-620-0034,077 Colorado Court,1973-08-31,28
GHI83Q75VM050AU7,Kylynn,Roddy,422-656-7153,01331 Hauk Parkway,1992-01-14,29
I1F64520Y30FFJMC,Carmelita,Vampouille,986-448-5630,177 Carey Street,1954-03-03,30
P759SZ0G2KKK70O0,Anderson,Saker,369-733-0873,42 Morrow Place,2003-11-27,31
G21NQ129G27E49A1,Neils,Colerick,942-895-4632,989 Carpenter Plaza,1922-10-15,32
WVRC0G1S716A43Q9,Nanci,Gogan,844-457-9817,2977 Birchwood Way,1996-11-06,34
6HJ44L588R4WB27V,Nicolai,Le Sarr,638-950-3940,1 Tony Court,1952-09-13,35
O2B57I79346Z1AMP,Shaun,Clamo,767-183-1855,13 Longview Crossing,1945-08-09,36
KH5D10J6W1B2SF3D,Karlyn,Anmore,917-284-6256,0979 Anzinger Point,2000-10-21,37
OM38513678OPTXAA,Jacynth,Salway,211-385-6902,0 Scott Circle,1910-10-18,38
4SL1714183LDI2JH,Jewel,Pruckner,269-364-4509,17 Dovetail Court,1936-05-30,39
KYJJAILS7W142A8Q,Jeff,Pember,651-967-6770,2141 Hayes Circle,1973-02-25,40
Q7X2207MG9946827,Keenan,Oxenden,455-933-3296,92 Portage Lane,1952-02-17,41
4PP861TCBE7IH48H,Maryanna,Outhwaite,472-415-1837,7 Oak Junction,1992-05-19,42
9KD185KMEBPOP7DN,Aurelia,Stonner,217-594-4468,19 Hoffman Way,1941-04-06,43
A7151KJR60433T0D,Field,O'Loghlen,887-505-2855,563 Dryden Place,1964-12-14,45
